시도교육청,지역교육청,지역,"정보공시 
학교코드",학교명,학교급코드,설립구분,제외여부,제외사유,"주 출입구 
접근로 
설치여부","장애인 전용 주차구역 
지정여부","주출입구 
높이차이 
제거여부","출입구(문) 
설치유무",복도,"계단/승강기/
경사로/
휠체어리프트 유무","장애인용 대변기 
설치여부","장애인용 소변기 
설치여부"," 점자블록 
설치여부"," 유도 및 안내설비 
설치여부"," 경보 및 피난설비 
설치여부"
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000806,인천가현초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000807,인천갈산초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000808,인천갈월초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000809,인천개흥초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000810,인천건지초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000811,인천검단초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040000812,인천계산초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040000813,인천계양초등학교,2,공립,N,,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000815,인천구산초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000816,인천금곡초등학교,2,공립,N,,단순설치,단순설치,단순설치,단순설치,단순설치,단순설치,적정설치,미설치,단순설치,단순설치,단순설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040000817,인천길주초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000818,인천단봉초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000819,인천당하초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000820,인천대정초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000821,인천동수초등학교,2,공립,N,,적정설치,적정설치,적정설치,미설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000822,인천동암초등학교,2,공립,N,,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000823,인천마곡초등학교,2,공립,N,,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000824,인천마장초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000825,인천마전초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040000826,인천명현초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000827,인천목향초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000828,인천미산초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000829,인천백석초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000830,인천백운초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040000831,인천병방초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040000832,인천봉수초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000833,인천부개서초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000834,인천부개초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000835,인천부곡초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000836,인천부광초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000837,인천부내초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000838,인천부마초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000839,인천부원초등학교,2,공립,N,,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000840,인천부일초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000841,인천부평남초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000842,인천부평동초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000843,인천부평북초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040000844,인천부평서초등학교,2,공립,N,,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
